Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Tomas Cvancara,25,Tchéquie,"4,00 mio. €","10,50 mio. €",https://www.transfermarkt.fr/tomas-cvancara/profil/spieler/544148,Avant-centre,30,15,1796
Kevin Álvarez,27,Mexique,"7,00 mio. €","10,25 mio. €",https://www.transfermarkt.fr/kevin-alvarez/profil/spieler/572705,Arrière droit,44,5,3872
Nico González,24,Espagne,"10,00 mio. €","21,20 mio. €",https://www.transfermarkt.fr/nico-gonzalez/profil/spieler/466805,Milieu défensif,26,1,1409
Igor Julio,28,Brésil,"10,00 mio. €","16,50 mio. €",https://www.transfermarkt.fr/igor-julio/profil/spieler/380350,Défenseur central,42,0,3153
Farès Chaïbi,23,Algérie,"10,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/fares-chaibi/profil/spieler/855015,Milieu central,41,8,2685
Ernest Muci,24,Albanie,"8,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/ernest-muci/profil/spieler/583917,Milieu offensif,37,6,2304
Bitello,26,Brésil,"7,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/bitello/profil/spieler/703497,Milieu offensif,42,8,3462
Esequiel Barco,26,Argentine,"9,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/esequiel-barco/profil/spieler/456623,Milieu offensif,53,10,3717
Quentin Merlin,23,France,"10,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/quentin-merlin/profil/spieler/557613,Milieu gauche,31,1,2292
Brenner,26,Brésil,"8,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/brenner/profil/spieler/412366,Avant-centre,8,1,537
Mohamed-Ali Cho,22,France,"8,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/mohamed-ali-cho/profil/spieler/670847,Ailier droit,24,2,770
Fabiano Parisi,25,Italie,"10,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/fabiano-parisi/profil/spieler/547985,Arrière gauche,34,2,2954
Dilane Bakwa,23,France,"4,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/dilane-bakwa/profil/spieler/540664,Ailier droit,39,5,2750
Junior Mwanga,22,France,"4,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/junior-mwanga/profil/spieler/1011200,Milieu défensif,35,0,2456
Iván Jaime,25,Espagne,"5,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/ivan-jaime/profil/spieler/610335,Milieu offensif,33,11,2630
Gabriel Pereira,24,Brésil,"5,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/gabriel-pereira/profil/spieler/736954,Ailier droit,23,6,1572
Andrea Petagna,30,Italie,"10,00 mio. €","9,70 mio. €",https://www.transfermarkt.fr/andrea-petagna/profil/spieler/199258,Avant-centre,32,5,1689
Róger Guedes,29,Brésil,"10,00 mio. €","9,10 mio. €",https://www.transfermarkt.fr/roger-guedes/profil/spieler/348263,Deuxième attaquant,41,21,3633
Gianluca Prestianni,20,Argentine,"10,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/gianluca-prestianni/profil/spieler/1000674,Ailier droit,33,3,1660
Giovani,22,Brésil,"10,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/giovani/profil/spieler/749560,Ailier droit,15,1,384
Lucas Boyé,29,Argentine,"10,00 mio. €","8,74 mio. €",https://www.transfermarkt.fr/lucas-boye/profil/spieler/334222,Avant-centre,37,7,2580
Rodrigo Becão,30,Brésil,"10,00 mio. €","8,31 mio. €",https://www.transfermarkt.fr/rodrigo-becao/profil/spieler/410158,Défenseur central,28,2,2487
Franck Honorat,29,France,"10,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/franck-honorat/profil/spieler/229006,Ailier droit,35,6,2638
Daniel Muñoz,29,Colombie,"10,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/daniel-munoz/profil/spieler/493003,Arrière droit,39,8,3410
Julian Weigl,30,Allemagne,"10,00 mio. €","7,18 mio. €",https://www.transfermarkt.fr/julian-weigl/profil/spieler/196792,Milieu défensif,27,1,2063
Junior Dina Ebimbe,25,Cameroun,"10,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/junior-dina-ebimbe/profil/spieler/536482,Milieu droit,29,3,1466
Calvin Stengs,27,Pays-Bas,"10,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/calvin-stengs/profil/spieler/409344,Milieu offensif,37,3,2814
Auston Trusty,27,États-Unis,"10,00 mio. €","5,80 mio. €",https://www.transfermarkt.fr/auston-trusty/profil/spieler/389253,Défenseur central,48,4,4320
Juan Brunetta,28,Argentine,"10,00 mio. €","5,40 mio. €",https://www.transfermarkt.fr/juan-brunetta/profil/spieler/466268,Milieu offensif,39,11,3124
Sergio Camello,24,Espagne,"10,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/sergio-camello/profil/spieler/505674,Avant-centre,41,7,2608
Davy Klaassen,32,Pays-Bas,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/davy-klaassen/profil/spieler/182932,Milieu central,46,10,2762
Anthony Rouault,24,France,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/anthony-rouault/profil/spieler/690799,Défenseur central,40,2,3442
David Datro Fofana,23,Côte d'Ivoire,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/david-datro-fofana/profil/spieler/787232,Avant-centre,16,5,979
Iñigo Martínez,34,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/inigo-martinez/profil/spieler/158863,Défenseur central,18,1,1639
Marc Roca,29,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/marc-roca/profil/spieler/336869,Milieu défensif,36,1,2612
Scott McKenna,29,Écosse,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/scott-mckenna/profil/spieler/255906,Défenseur central,24,0,1872
Juan Bernat,32,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/juan-bernat/profil/spieler/126719,Arrière gauche,36,2,2090
Sergiño Dest,25,États-Unis,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/sergino-dest/profil/spieler/361104,Arrière droit,14,0,635
Yerry Mina,31,Colombie,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/yerry-mina/profil/spieler/289446,Défenseur central,8,2,686
Máximo Perrone,23,Argentine,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/maximo-perrone/profil/spieler/668547,Milieu défensif,2,0,20
Hamari Traoré,34,Mali,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/hamari-traore/profil/spieler/297070,Arrière droit,36,1,2974
Gustavo Scarpa,32,Brésil,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/gustavo-scarpa/profil/spieler/330085,Milieu offensif,10,0,487
Daler Kuzyaev,33,Russie,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/daler-kuzyaev/profil/spieler/279570,Milieu central,35,5,2541
Lewis Hall,21,Angleterre,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/lewis-hall/profil/spieler/670858,Arrière gauche,38,5,2972
Adama Traoré,30,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/adama-traore/profil/spieler/204103,Ailier droit,40,3,1878
Manu Sánchez,25,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/manu-sanchez/profil/spieler/618809,Arrière gauche,36,0,2470
Sergio Reguilón,29,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/sergio-reguilon/profil/spieler/282429,Arrière gauche,12,0,317
Callum Doyle,22,Angleterre,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/callum-doyle/profil/spieler/817688,Défenseur central,46,0,3819
Bertrand Traoré,30,Burkina Faso,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/bertrand-traore/profil/spieler/131996,Ailier droit,26,5,1214
Lorenz Assignon,25,France,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/lorenz-assignon/profil/spieler/711969,Arrière droit,20,2,710
Nathan Redmond,31,Angleterre,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/nathan-redmond/profil/spieler/129078,Ailier droit,29,6,1838
Neal Maupay,29,France,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/neal-maupay/profil/spieler/217115,Avant-centre,29,1,1279
Eric García,25,Espagne,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/eric-garcia/profil/spieler/466794,Défenseur central,32,1,1828
Facundo Pellistri,24,Uruguay,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/facundo-pellistri/profil/spieler/676318,Ailier droit,11,0,280
Philippe Coutinho,33,Brésil,Inconnu,"10,00 mio. €",https://www.transfermarkt.fr/philippe-coutinho/profil/spieler/80444,Milieu offensif,22,1,918
Hassan Kadesh,33,Arabie Saoudite,200 K €,"9,88 mio. €",https://www.transfermarkt.fr/hassan-kadesh/profil/spieler/260859,Arrière gauche,30,5,2730
Firas Al-Buraikan,25,Arabie Saoudite,"3,00 mio. €","9,83 mio. €",https://www.transfermarkt.fr/firas-al-buraikan/profil/spieler/631922,Avant-centre,32,18,2500
Aurèle Amenda,22,Suisse,"5,00 mio. €","9,50 mio. €",https://www.transfermarkt.fr/aurele-amenda/profil/spieler/635645,Défenseur central,33,2,2473
Natan,25,Brésil,"5,50 mio. €","9,50 mio. €",https://www.transfermarkt.fr/natan/profil/spieler/735568,Défenseur central,26,0,2215
Diego Rossi,27,Uruguay,"9,50 mio. €","6,00 mio. €",https://www.transfermarkt.fr/diego-rossi/profil/spieler/317454,Milieu offensif,67,9,3991
Morgan Rogers,23,Angleterre,"2,80 mio. €","9,40 mio. €",https://www.transfermarkt.fr/morgan-rogers/profil/spieler/503743,Milieu offensif,22,1,1278
Ross Stewart,29,Écosse,"2,80 mio. €","9,30 mio. €",https://www.transfermarkt.fr/ross-stewart/profil/spieler/447995,Avant-centre,15,11,1092
Gabriel Pec,24,Brésil,"6,00 mio. €","9,30 mio. €",https://www.transfermarkt.fr/gabriel-pec/profil/spieler/703321,Ailier droit,50,14,3657
Julián Quiñones,28,Mexique,"9,00 mio. €","9,17 mio. €",https://www.transfermarkt.fr/julian-quinones/profil/spieler/416090,Avant-centre,42,23,3724
Hugo Larsson,21,Suède,"9,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/hugo-larsson/profil/spieler/931838,Milieu central,29,2,1987
Luiz Araújo,29,Brésil,"6,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/luiz-araujo/profil/spieler/435485,Ailier droit,43,6,2195
Pedro,20,Brésil,"7,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/pedro/profil/spieler/1004741,Ailier gauche,23,3,945
Haji Wright,27,États-Unis,"6,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/haji-wright/profil/spieler/315291,Avant-centre,29,16,2465
Julian Draxler,32,Allemagne,"6,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/julian-draxler/profil/spieler/85148,Ailier gauche,18,2,762
Isak Hien,27,Suède,"9,00 mio. €","8,86 mio. €",https://www.transfermarkt.fr/isak-hien/profil/spieler/503075,Défenseur central,39,1,3237
Mitchel Bakker,25,Pays-Bas,"9,00 mio. €","8,80 mio. €",https://www.transfermarkt.fr/mitchel-bakker/profil/spieler/361065,Milieu gauche,40,4,2602
Ethan Ampadu,25,Pays de Galles,"9,00 mio. €","8,10 mio. €",https://www.transfermarkt.fr/ethan-ampadu/profil/spieler/392771,Milieu défensif,35,1,2947
Alan Varela,24,Argentine,"9,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/alan-varela/profil/spieler/756990,Milieu défensif,34,1,2554
Strahinja Erakovic,25,Serbie,"9,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/strahinja-erakovic/profil/spieler/574660,Défenseur central,47,0,3959
Federico Redondo,23,Argentine,"9,00 mio. €","7,45 mio. €",https://www.transfermarkt.fr/federico-redondo/profil/spieler/909758,Milieu défensif,45,2,3169
Angelo Fulgini,29,Nouvelle-Calédonie,"9,00 mio. €","7,20 mio. €",https://www.transfermarkt.fr/angelo-fulgini/profil/spieler/250013,Milieu offensif,37,2,1599
Ryan Giles,26,Angleterre,"9,00 mio. €","5,85 mio. €",https://www.transfermarkt.fr/ryan-giles/profil/spieler/504581,Arrière gauche,48,0,4101
Edgar González,28,Espagne,"9,00 mio. €","4,50 mio. €",https://www.transfermarkt.fr/edgar-gonzalez/profil/spieler/401624,Défenseur central,31,1,2340
Lucas Tousart,28,France,"9,00 mio. €","2,80 mio. €",https://www.transfermarkt.fr/lucas-tousart/profil/spieler/353948,Milieu central,34,6,3005
Andoni Gorosabel,29,Espagne,"9,00 mio. €","1,50 mio. €",https://www.transfermarkt.fr/andoni-gorosabel/profil/spieler/289255,Arrière droit,35,0,2186
Anastasios Bakasetas,32,Grèce,"9,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/anastasios-bakasetas/profil/spieler/162571,Milieu offensif,41,13,3106
Sergi Canós,29,Espagne,"9,00 mio. €",250 K €,https://www.transfermarkt.fr/sergi-canos/profil/spieler/251845,Ailier gauche,14,4,531
Ryan Kent,29,Angleterre,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/ryan-kent/profil/spieler/279457,Ailier gauche,44,3,3671
Rafael Borré,30,Colombie,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/rafael-borre/profil/spieler/323831,Avant-centre,47,3,1714
David Brooks,28,Pays de Galles,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/david-brooks/profil/spieler/277033,Ailier droit,6,0,172
Flynn Downes,27,Angleterre,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/flynn-downes/profil/spieler/506189,Milieu défensif,35,0,1512
Mason Holgate,29,Jamaïque,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/mason-holgate/profil/spieler/348623,Défenseur central,9,0,560
Mohamed Elyounoussi,31,Norvège,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/mohamed-elyounoussi/profil/spieler/186644,Deuxième attaquant,38,1,2502
Tom Davies,27,Angleterre,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/tom-davies/profil/spieler/314210,Milieu central,20,0,617
Jaidon Anthony,26,Angleterre,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/jaidon-anthony/profil/spieler/684210,Ailier gauche,34,4,1594
Brandon Soppy,23,France,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/brandon-soppy/profil/spieler/546880,Milieu droit,18,0,843
Gabriel Slonina,21,États-Unis,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/gabriel-slonina/profil/spieler/656316,Gardien de but,8,0,720
Unai Vencedor,25,Espagne,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/unai-vencedor/profil/spieler/610083,Milieu central,11,0,203
Anass Zaroury,25,Maroc,Inconnu,"9,00 mio. €",https://www.transfermarkt.fr/anass-zaroury/profil/spieler/491296,Ailier gauche,44,12,2898
Gabriel Fernández,31,Uruguay,"2,80 mio. €","8,90 mio. €",https://www.transfermarkt.fr/gabriel-fernandez/profil/spieler/259930,Avant-centre,35,10,2697
Tom Cannon,23,Irlande,"5,00 mio. €","8,80 mio. €",https://www.transfermarkt.fr/tom-cannon/profil/spieler/669366,Avant-centre,40,20,3210
Brandon Vazquez,27,États-Unis,"8,50 mio. €","7,81 mio. €",https://www.transfermarkt.fr/brandon-vazquez/profil/spieler/389255,Avant-centre,40,17,3291
Milot Rashica,29,Kosovo,"8,50 mio. €","5,25 mio. €",https://www.transfermarkt.fr/milot-rashica/profil/spieler/291739,Ailier droit,35,6,2267
Allan,28,Brésil,"7,00 mio. €","8,20 mio. €",https://www.transfermarkt.fr/allan/profil/spieler/385271,Milieu défensif,22,0,1199
Matt Turner,31,États-Unis,"8,00 mio. €","8,15 mio. €",https://www.transfermarkt.fr/matt-turner/profil/spieler/425306,Gardien de but,7,0,630
Nikola Krstović,25,Monténégro,"2,20 mio. €","8,15 mio. €",https://www.transfermarkt.fr/nikola-krstovic/profil/spieler/434433,Avant-centre,35,26,2665
Matías Viña,28,Uruguay,"8,00 mio. €","8,10 mio. €",https://www.transfermarkt.fr/matias-vina/profil/spieler/439072,Arrière gauche,19,2,753
Malick Fofana,20,Belgique,"8,00 mio. €","19,50 mio. €",https://www.transfermarkt.fr/malick-fofana/profil/spieler/743386,Ailier gauche,46,5,2366
M'Bala Nzola,29,Angola,"8,00 mio. €","12,60 mio. €",https://www.transfermarkt.fr/mbala-nzola/profil/spieler/354814,Avant-centre,34,15,2910
Petar Musa,27,Croatie,"8,00 mio. €","9,00 mio. €",https://www.transfermarkt.fr/petar-musa/profil/spieler/387110,Avant-centre,41,11,1116
Jean-Mattéo Bahoya,20,France,"2,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jean-matteo-bahoya/profil/spieler/939964,Ailier gauche,23,5,969
Moritz Jenz,26,Allemagne,"7,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/moritz-jenz/profil/spieler/460245,Défenseur central,30,2,2511
Vaclav Cerny,28,Tchéquie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/vaclav-cerny/profil/spieler/242063,Ailier droit,41,15,2972
Philipp Köhn,27,Suisse,"4,50 mio. €","8,00 mio. €",https://www.transfermarkt.fr/philipp-kohn/profil/spieler/251322,Gardien de but,42,0,3777
Ayase Ueda,27,Japon,"6,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/ayase-ueda/profil/spieler/589128,Avant-centre,42,23,3343
Faris Moumbagna,25,Cameroun,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/faris-moumbagna/profil/spieler/599663,Avant-centre,36,18,2839
Jorge de Frutos,28,Espagne,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jorge-de-frutos/profil/spieler/455181,Ailier droit,46,5,3504
Yankuba Minteh,21,Gambie,"2,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/yankuba-minteh/profil/spieler/1012534,Ailier droit,21,6,1512
Isaak Touré,22,France,"6,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/isaak-toure/profil/spieler/708678,Défenseur central,25,1,1720
Gianluca Caprari,32,Italie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/gianluca-caprari/profil/spieler/146752,Deuxième attaquant,38,6,2536
Luis Suárez,28,Colombie,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/luis-suarez/profil/spieler/424784,Avant-centre,32,7,1883
Georginio Wijnaldum,35,Pays-Bas,"8,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/georginio-wijnaldum/profil/spieler/49499,Milieu central,23,2,1099
Lucas Veríssimo,30,Brésil,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/lucas-verissimo/profil/spieler/411662,Défenseur central,26,1,1813
Ibrahima Bamba,23,Italie,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/ibrahima-bamba/profil/spieler/840674,Défenseur central,35,0,2908
Jovan Mijatovic,20,Serbie,"3,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/jovan-mijatovic/profil/spieler/673432,Avant-centre,31,10,1481
Liel Abada,24,Israël,"7,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/liel-abada/profil/spieler/519514,Ailier droit,47,13,2082
Cyle Larin,30,Canada,"8,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/cyle-larin/profil/spieler/343463,Avant-centre,32,9,1833
Tajon Buchanan,26,Canada,"8,00 mio. €","7,30 mio. €",https://www.transfermarkt.fr/tajon-buchanan/profil/spieler/638793,Ailier droit,32,1,2465
Arkadiusz Milik,31,Pologne,"8,00 mio. €","7,30 mio. €",https://www.transfermarkt.fr/arkadiusz-milik/profil/spieler/191891,Avant-centre,41,9,2255
Ramiz Zerrouki,27,Algérie,"8,00 mio. €","7,20 mio. €",https://www.transfermarkt.fr/ramiz-zerrouki/profil/spieler/416660,Milieu défensif,41,2,3591
Luis Chávez,30,Mexique,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/luis-chavez/profil/spieler/331059,Milieu défensif,42,3,3603
Lucas Perri,28,Brésil,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/lucas-perri/profil/spieler/352041,Gardien de but,63,0,5625
Aaron Boupendza,26,Gabon,"8,00 mio. €","6,50 mio. €",https://www.transfermarkt.fr/aaron-boupendza/profil/spieler/427605,Avant-centre,36,17,2444
Junior Adamu,24,Autriche,"8,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/junior-adamu/profil/spieler/452477,Avant-centre,40,14,1750
Sergio Akieme,28,Espagne,"8,00 mio. €","6,00 mio. €",https://www.transfermarkt.fr/sergio-akieme/profil/spieler/355627,Arrière gauche,29,1,2298
Ansgar Knauff,24,Allemagne,"8,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/ansgar-knauff/profil/spieler/429874,Ailier droit,33,1,1742
Lorenzo Pirola,23,Italie,"8,00 mio. €","5,00 mio. €",https://www.transfermarkt.fr/lorenzo-pirola/profil/spieler/487834,Défenseur central,27,2,2026
Kevin Volland,33,Allemagne,"8,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/kevin-volland/profil/spieler/82009,Milieu offensif,24,6,996
Santiago Hezze,24,Argentine,"8,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/santiago-hezze/profil/spieler/742803,Milieu défensif,37,5,3103
Adryelson,27,Brésil,"8,00 mio. €","3,58 mio. €",https://www.transfermarkt.fr/adryelson/profil/spieler/373433,Défenseur central,58,4,4900
Jesús Corona,33,Mexique,"8,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/jesus-corona/profil/spieler/125165,Ailier droit,4,1,109
Moussa Djenepo,27,Mali,"8,00 mio. €","3,50 mio. €",https://www.transfermarkt.fr/moussa-djenepo/profil/spieler/485424,Ailier gauche,24,1,1066
Abdülkadir Ömür,26,Turquie,"8,00 mio. €","2,50 mio. €",https://www.transfermarkt.fr/abdulkadir-omur/profil/spieler/271495,Milieu offensif,41,3,2499
Jáminton Campaz,25,Colombie,"8,00 mio. €","1,84 mio. €",https://www.transfermarkt.fr/jaminton-campaz/profil/spieler/491553,Ailier gauche,44,10,3581
Karl Toko Ekambi,33,Cameroun,"8,00 mio. €","1,50 mio. €",https://www.transfermarkt.fr/karl-toko-ekambi/profil/spieler/315110,Avant-centre,38,9,2506
Rob Holding,30,Angleterre,"8,00 mio. €","1,20 mio. €",https://www.transfermarkt.fr/rob-holding/profil/spieler/253341,Défenseur central,24,2,1400
Ethan Laird,24,Angleterre,"8,00 mio. €",875 K €,https://www.transfermarkt.fr/ethan-laird/profil/spieler/531679,Arrière droit,33,1,2545
Luka Jović,28,Serbie,"8,00 mio. €",500 K €,https://www.transfermarkt.fr/luka-jovic/profil/spieler/257462,Avant-centre,50,13,2399
Angeliño,29,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/angelino/profil/spieler/277179,Arrière gauche,35,1,2801
Alexander Djiku,31,Ghana,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/alexander-djiku/profil/spieler/250844,Défenseur central,31,1,2681
Héctor Bellerín,30,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/hector-bellerin/profil/spieler/191217,Arrière droit,20,1,1028
Djed Spence,25,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/djed-spence/profil/spieler/483348,Arrière gauche,16,0,827
Ángel Di María,37,Argentine,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/angel-di-maria/profil/spieler/45320,Ailier droit,40,8,2248
Alejandro Catena,31,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/alejandro-catena/profil/spieler/449796,Défenseur central,37,1,3316
Duván Zapata,34,Colombie,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/duvan-zapata/profil/spieler/73794,Avant-centre,27,2,1510
Simone Pafundi,19,Italie,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/simone-pafundi/profil/spieler/876400,Milieu offensif,18,3,894
Gabriel Veron,23,Brésil,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/gabriel-veron/profil/spieler/627221,Ailier droit,27,1,694
Lewis O'Brien,27,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/lewis-obrien/profil/spieler/560694,Milieu central,36,2,2337
Francisco Conceição,23,Portugal,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/francisco-conceicao/profil/spieler/487474,Ailier droit,35,6,1265
Sead Kolasinac,32,Bosnie-Herzégovine,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/sead-kolasinac/profil/spieler/94005,Défenseur central,41,4,2668
Remo Freuler,33,Suisse,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/remo-freuler/profil/spieler/148252,Milieu central,33,0,2582
Agustín Álvarez,24,Uruguay,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/agustin-alvarez/profil/spieler/812625,Avant-centre,23,1,395
Ainsley Maitland-Niles,28,Angleterre,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/ainsley-maitland-niles/profil/spieler/285845,Arrière droit,27,0,1774
Gabriel Strefezza,28,Brésil,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/gabriel-strefezza/profil/spieler/457673,Ailier droit,36,9,2582
Jonny Otto,31,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/jonny-otto/profil/spieler/175446,Arrière droit,23,1,1603
Owen Wijndal,26,Pays-Bas,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/owen-wijndal/profil/spieler/339328,Arrière gauche,28,0,1766
Juanmi,32,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/juanmi/profil/spieler/126737,Ailier gauche,27,4,1210
Óscar Rodríguez,27,Espagne,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/oscar-rodriguez/profil/spieler/284884,Milieu offensif,36,3,1995
Emmanuel Dennis,28,Nigeria,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/emmanuel-dennis/profil/spieler/448854,Avant-centre,27,2,1200
Ghislain Konan,30,Côte d'Ivoire,Inconnu,"8,00 mio. €",https://www.transfermarkt.fr/ghislain-konan/profil/spieler/422850,Arrière gauche,31,0,2718
Diego Valoyes,29,Colombie,"5,50 mio. €","7,85 mio. €",https://www.transfermarkt.fr/diego-valoyes/profil/spieler/413983,Ailier droit,24,4,1697
Dara O'Shea,26,Irlande,"5,00 mio. €","7,80 mio. €",https://www.transfermarkt.fr/dara-oshea/profil/spieler/401320,Défenseur central,41,2,3634
Hugo Vetlesen,25,Norvège,"7,00 mio. €","7,75 mio. €",https://www.transfermarkt.fr/hugo-vetlesen/profil/spieler/499758,Milieu central,29,6,2404
Marc Pubill,22,Espagne,"1,00 mio. €","7,75 mio. €",https://www.transfermarkt.fr/marc-pubill/profil/spieler/844637,Défenseur central,31,2,2141
Kosta Nedeljkovic,20,Serbie,"2,50 mio. €","7,60 mio. €",https://www.transfermarkt.fr/kosta-nedeljkovic/profil/spieler/848682,Arrière droit,32,1,2601
Niels Nkounkou,25,France,"5,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/niels-nkounkou/profil/spieler/591193,Arrière gauche,38,6,2908
Théo Bongonda,30,RD Congo,"4,00 mio. €","7,50 mio. €",https://www.transfermarkt.fr/theo-bongonda/profil/spieler/280701,Ailier droit,32,4,2012
Benjamin Tahirović,22,Bosnie-Herzégovine,"1,50 mio. €","7,50 mio. €",https://www.transfermarkt.fr/benjamin-tahirovic/profil/spieler/787907,Milieu central,23,0,1137
